	weight	ssn	hemoglobin	alp	etytr	alt	erytrocyty	hbver	name	hematokrit	indicator	er-cv	leukocyty	smoker	relationship	ast	trombocyty
43	69.71754	580-07-9750	6.95904	81.01899	6.19171	1.91441	6.90619	7.25595	James Rosario	6.67628	0.00000	46.81875	8.69548	yes	divoced	39.66583	7.33176
44	80.40184	045-13-6368	9.54953	16.47899	9.80569	2.77608	7.23242	7.93456	Eric Mcdonald	11.64260	1.00000	74.83810	5.39089	yes	married	65.08471	5.70957
45	43.06441	126-89-0570	6.19867	85.00720	7.03056	5.55485	8.09772	6.67210	Eric Baker	9.93052	1.00000	54.96502	10.21791	no	married	27.97909	6.56296
46	86.05367	148-31-9810	6.03227	80.48917	8.39108	2.85381	7.51796	8.21190	Michael Alvarez	7.42444	1.00000	32.67006	7.31391	no	divoced	34.97489	8.43252
47	94.64885	326-63-5166	9.73620	13.94177	9.94112	3.65839	7.66601	8.38176	Leslie Morales	7.09311	1.00000	39.60126	7.12846	no	divoced	21.88944	7.79505
48	-12.25208	058-10-3968	9.14244	11.21593	6.95481	2.02498	5.95438	6.90956	James Gray	8.37549	0.00000	69.84532	8.79970	no	divoced	25.03819	7.71989
49	152.21005	681-92-6796	9.08305	10.06272	8.63701	2.11006	7.05526	6.07387	Isaiah Hopkins	10.41447	1.00000	69.81220	5.58380	yes	divoced	44.48109	9.60043
50	85.11640	854-57-5963	7.34424	66.63285	6.48083	2.14125	6.40266	7.51658	Brian Brown	11.40543	0.00000	52.00493	9.67556	N	divoced	45.16869	8.38239
51	109.75451	567-19-7358	8.91721	23.87037	8.60969	4.00426	7.74902	6.83823	Timothy Solis	8.49998	1.00000	42.18248	6.33993	yes	widowed	51.75161	8.19245
52	0.93006	660-69-7258	10.50436	31.92495	8.07621	3.35717	7.91814	9.13192	Julie Walker	8.29769	1.00000	54.46811	5.59521	Y	married	60.81230	7.18029
53	24.42778	231-95-4909	9.51361	15.34569	9.01449	2.01908	5.52634	8.03859	Kristin Bradley	6.62445	1.00000	42.50447	6.40204	N	divoced	53.95330	8.42119
54	57.14505	318-51-3928	5.25740	68.45118	8.53882	4.14994	7.80755	6.29568	Connie Burns	10.85928	1.00000	60.42944	9.32982	Y	widowed	12.32015	7.97448
55	91.44134	606-86-9609	7.19913	66.23210	8.06574	1.93557	6.26229	7.84079	Donald Sanchez	9.37599	0.00000	64.32011	6.37019	N	widowed	35.56722	7.44726
56	161.28829	673-71-0649	8.54018	31.05127	4.80780	2.61755	7.15157	6.42103	Randall Brown DDS	7.59519	1.00000	38.36940	6.88269	yes	divoced	46.20310	6.62582
57	69.47398	402-73-8561	7.67209	58.18455	5.56293	3.71467	7.79867	7.08765	Glenn Williams	10.16134	0.00000	39.87574	8.73095	Y	separated	34.55995	8.31118
58	25.51526	395-57-0204	8.15586	38.25210	10.22633	2.53393	7.49631	7.43225	Kristin Gordon	7.06950	1.00000	41.05794	8.09787	no	married	51.03460	7.42436
59	69.93042	235-75-2417	8.16833	44.82174	9.60784	5.06129	8.06156	8.78846	Ryan Crane	7.18276	0.00000	67.43918	8.99772	no	divoced	47.35790	6.64168
60	87.79012	044-79-5422	7.03586	73.86457	4.02150	1.77083	6.34788	5.79267	David Frost	9.52123	1.00000	64.03458	7.92817	Y	widowed	58.00643	9.05875
61	83.17099	844-78-9639	8.59427	20.72707	6.37088	6.48175	8.50048	7.43051	Michelle Diaz	9.03689	0.00000	46.53387	9.03846	yes	single	42.14616	6.91380
62	187.43635	767-20-7644	5.05072	65.97440	8.28391	10.95073	9.07153	6.27223	John Rich	7.79975	1.00000	52.51918	6.06161	yes	single	58.21846	5.71789
63	112.29753	833-58-3989	3.73290	14.01729	9.96752	1.67381	6.20536	6.88215	Anthony Johnson	10.91890	1.00000	51.10805	11.36532	yes	single	42.46028	7.08381
64	54.69283	031-29-5362	9.74279	13.37248	7.18928	2.23617	6.48141	6.93471	Randy Williams	7.65050	0.00000	35.08206	8.58192	no	widowed	50.39751	7.64338
65	13.09665	768-34-4370	5.94683	88.95944	7.94555	3.40321	7.29072	7.17934	Jamie Gomez	7.64743	1.00000	53.28585	8.53029	yes	married	63.38492	8.38687
66	11.78280	749-03-2252	7.66077	60.51733		5.53303	8.10213	7.08014	Michele Ballard	8.66317	1.00000	38.56596	10.14444	no	widowed	53.16375	8.83311
67	92.56992	341-69-5295	5.32810	75.40662	6.69916	1.69409	6.43087	8.54459	Elizabeth Long	10.64615	1.00000	75.14931	8.26162	no	separated	42.95938	6.64029
68	104.99896	132-96-6353	8.16934	40.19756	8.54310	14.29809	9.40413	6.98401	Gregory Marshall	8.33001	1.00000	57.99767	6.99604	no	widowed	59.67304	6.94212
69	77.62148	591-71-1801	6.90743	79.22502	5.76574	2.96775	7.20634	7.49330	Jonathon Obrien	8.75895	1.00000	63.00809	9.89232	no	single	44.46988	8.47786
70	63.65032	346-11-1427	7.31914	62.24049	7.24334	1.36084	6.79125	6.93634	John Hubbard	11.64801	0.00000	90.33650	10.29860	no	divoced	53.38743	9.55686
71	95.10092	086-45-5653	8.77942	20.22205	10.06179	3.81417	7.87628	9.02711	Randy Harvey MD	6.91186	1.00000	47.56585	7.46280	Y	widowed	19.43761	
72	56.38107	841-99-6261	4.69405	44.82640	7.49253	3.10240	7.37964	8.59874	Caleb Day	10.07129	1.00000	69.13504	8.96582	no	divoced	46.43150	7.90733
73	45.15428	705-80-0844	4.63664	49.97907	7.66103	2.59359	7.24483	7.70881	Laura Reyes	7.22077	1.00000	39.21757	9.61518	Y	married	36.57728	8.36630
74	77.15519	382-68-3495	7.67414	56.44519	8.72029	3.03310	7.15195	8.05549	Caleb Burns	11.13226	1.00000	53.28114	6.25752	yes	widowed	55.76895	6.48572
75	54.32626	198-46-2319	5.68940	78.19640	6.96769	3.57768		8.02454	Kenneth Luna	9.68130	1.00000	49.62917	10.09079	no	single	47.36232	6.99832
76	111.44666	561-34-7303	8.02865	40.84180	7.67973	5.12766	7.98748	6.58400	Raymond Sawyer	7.10266	1.00000	60.92494	7.26606	no	single	43.94227	8.68494
77	84.93102	497-53-8523	7.97145	38.44271	4.39520	7.78973	8.60722	8.29972	Gregory Jones	8.00025	1.00000	56.26343	7.85580	no	nop	43.12380	5.94231
78	67.39499	452-55-6483	6.84492	76.20775	6.87864	2.28744	6.21487	6.67584	Megan Burgess	7.44592	1.00000	47.31208	6.49796	yes	married	18.56465	6.16549
79	111.38124	707-81-6865	4.96242	62.01818	6.57470	6.74971	8.58481	8.51663	Christopher Vance	9.25952	1.00000	48.23502	7.70525	no	single	65.72360	8.95635
80	36.84655	167-45-6129	8.73676	26.98529	7.58763	1.19226	6.21536	8.26689	Teresa Perry	8.36265	1.00000	39.57111	5.35763	yes	widowed	44.35417	8.26072
81	24.45692	836-51-2269	4.50558	35.58515	9.20228	24.39798	9.92590	8.41946	April Hall	9.95181	0.00000	66.76453	8.55532	no	nop	63.87559	7.40107
82	22.80736	075-37-4894	9.43335	19.23577	4.42797	2.65125	6.79411	7.77933	David Rose	8.03279	1.00000	46.65616	9.38039	yes	widowed	55.51473	7.32695
83	88.90912	407-32-3490	9.92083	9.90783	7.92670	1.21890	5.59128	8.96095	Christopher Wilson	5.79725	1.00000	44.95561	6.39968	no	widowed	31.29239	8.37607
84	65.77589	365-80-9217	3.97075	20.85599	8.25457	4.07305	7.52968	8.76354	Sandra Scott	8.29136	1.00000	59.80470	8.20241	yes	divoced		8.14210
85	83.28895	084-33-4557	6.32493	87.30715	6.01575	5.80166	8.31527	8.02095	Candice Lopez	8.87996	1.00000	38.02063	7.83706	Y	separated	60.16328	7.97064
86	72.55468	132-50-9455	11.35438	62.85892	8.73118	4.81238	8.06778	7.35596	Lauren Harris	8.54508	1.00000	63.91526	6.24468	N	divoced	44.72393	7.39502
87	41.29026	135-34-9982	6.76913	78.98681	4.88385	7.54318	8.61278	9.10678	Kristina Baker	7.66409	1.00000	32.69959	8.53626	yes	nop	45.64434	7.10894
88	91.86775	731-63-0424	6.83323	85.18962	6.82992	4.60708	8.04433	6.16815	Jennifer Hodge	7.87457	1.00000	40.16319	9.89054	no	married	68.23606	10.37328
89	33.51567	519-89-1106	8.67918	26.13263	9.08100	5.03257	7.97289	6.98087	Adam Mendoza	10.17629	1.00000	29.17370	6.15713	no	married	45.49332	7.16562
90	8.51787	624-55-3864	10.10329	11.83867	7.81106	4.14012	7.96960	9.35972	Robert Anderson	7.40638	0.00000	41.02314	9.33420	no	divoced	32.83849	7.62826
91	101.12613	641-41-6990	10.65308	32.91356	8.09645	1.98028	6.72570	7.28617	Michael Diaz	6.62947	0.00000	56.27291	8.55348	no	divoced	56.95163	7.02870
92	21.00299	151-19-3480	7.71737	55.20021	9.47620	8.22646	8.74742	6.85858	Sarah Hernandez	11.22375	1.00000	42.84121	7.06901	no	married	55.86396	7.18642
93	27.56952	463-25-2703	8.21867	32.55762	7.75742	3.22716	6.51195	6.78137	Michael Torres	8.33269	1.00000	47.60957	5.86384	Y	married	56.72459	7.33077
94	106.67588	661-05-6431	5.74115	81.72306	5.26155	5.07879	8.11509	7.02909	Jennifer Dunn	5.64984	0.00000	33.86574	8.86687	Y	divoced	38.52103	6.32344
95	100.36030	323-22-6598	7.74716	50.85013	5.99326	8.31349	8.69777	7.11329	Michaela Wilson	7.60192	1.00000	85.43397	8.77143	Y	married	68.60007	8.29862
96	75.06745	561-34-4628	7.66527	56.65664	7.36525	1.31321	5.34635	6.88181	Joanna Reyes	8.45015	0.00000	55.41972	8.47410	N	nop	49.46001	9.19101
97	20.45565	600-82-1263	7.11761	76.83898	6.97989	7.71163	8.64670	5.80927	Dean Cohen	8.64018	1.00000	23.53950	7.87768	Y	divoced	54.07585	8.32019
98	55.91909	774-56-5010	5.88269	80.40516	6.60170	7.94053	8.72172	7.31957	Sara Gutierrez	10.33712	1.00000	51.85539	10.25925	no	widowed	31.11948	8.51401
99	44.67827	234-53-2870	7.13526	76.32687	6.94556	2.81136	7.70094	8.56171	Aaron Delacruz	7.13241	0.00000	58.12868	8.57780	no	single	35.52904	7.20557
100	22.97737	838-80-6312	7.41939	65.67706	4.66477	4.70615	8.07777	8.44433	Dana Sullivan	9.78376	1.00000	54.12432	8.84510	Y	married	14.07501	6.64387
101	52.89809	213-01-2117	9.74889	18.52465	8.18098	2.85376	7.44214	7.43342	Rebecca Collier	8.70849	0.00000	45.62953	6.61614	no	single	34.83375	6.12786
102	102.21997	208-70-4551	8.35968	30.89434	7.91544	7.16158	8.63018	8.38699	Nicholas Anderson	8.91221	0.00000	29.63977	8.77009	no	married	48.36678	6.98857
103	89.03846	200-84-1034	4.09740	23.63931	8.45318	3.04091	7.55211	6.93938	Kevin Craig	9.13096	1.00000	47.65431	10.00448	no	single	18.71215	8.11502
104	34.55277	568-17-0185	5.41510	79.51869	5.48521	3.00919	7.36824	7.82882	Carol Day	7.85492	1.00000	51.81926	9.31691	no	divoced	38.31735	7.55426
105	25.79801	797-20-4592	11.63764	70.81962	8.64145	1.19116	6.41290	7.77476	Audrey Gardner	11.91954	1.00000	35.23948	5.48004	no	single		10.01537
106	29.70733	148-31-9810	6.77969	81.60670	3.49954	3.93905	7.45231	7.55501	Michael Alvarez	11.12957	0.00000	58.46637	8.01919	yes	married	35.33228	6.26202
107	68.30386	148-62-2345	10.04636	20.66236	8.56785	14.86264	9.40345	7.81809	James Kline	8.87946	1.00000	68.87552	6.57329	Y	divoced	27.85644	7.66667
108	39.14714	700-86-3039	9.31478	13.69684	6.77858	2.23343	6.78884	6.91920	James Snow	9.85468	1.00000	37.25717	5.21854	no	divoced	43.92156	6.43121
109	123.86819	627-41-1167	10.47783	28.01635	9.40685	2.35158	6.58079	8.79437	David Pruitt	8.95161	1.00000	82.85098	6.88468	N	divoced	80.86838	7.86074
110	48.98926	765-44-7242	7.39893	62.44091	8.74474	14.03749	9.22669	7.85130	Samantha Oliver	10.15428	1.00000	50.71454	5.92221	Y	married	33.32733	9.84702
111	71.20273	332-01-0562	9.78511	15.67636	6.49914	6.39314	8.48627	8.69656	Michelle Barker	8.07227	0.00000	49.51479	8.89276	N	married	30.80726	6.98412
112	-15.04184	705-94-3199	6.13345	89.44848	6.54005	7.25325	8.55664	7.09254	David Richardson	7.83089	1.00000	27.64803	6.89232	no	single	52.31360	6.61415
113	31.06477	546-90-8703	4.23479	41.14386	9.78723	6.20556	8.13980	8.02224	Andrew Shaw	7.73477	1.00000	60.27404	7.33720	no	nop	37.15825	6.50121
114	134.49264	777-14-9775	8.24563	44.56033	9.75858	3.22704	7.26036	7.82951	Jenny Mcknight	9.79386	1.00000	59.20918	6.98918	no	married	57.17435	7.66874
115	54.94565	459-40-3267	9.67584	17.18026	9.68570	2.10504	6.16745	7.61555	Emily Kaufman	10.25956	1.00000	68.97090	6.90935	yes	divoced	63.86500	6.86579
116	93.46603	863-95-9194	8.19887	31.82377	8.28797	1.14849	6.42636	6.49650	Shawn Green	8.28956	1.00000	61.94686	6.36708	no	divoced	37.30589	9.47929
117	34.92716	106-62-9855	6.53949	90.55463	6.66166	2.83248	7.55737	7.69465	Whitney Patel	8.74124	1.00000	68.11402	8.33322	yes	single	35.89849	6.56296
118	123.47958	661-83-5349	11.98558	76.72724	9.02679	3.94991	7.74521	6.98180	Tamara Campbell	5.02796	0.00000	64.33084	8.65194	no	married	55.70091	6.47986
119	117.51095	124-98-6013	8.92942	17.36371	8.98011	0.81423	5.71695	7.53823	Maria Floyd	11.39110	1.00000	56.04043	6.34700	no	separated	61.05951	8.00727
120	34.11541	425-01-6426	7.79888	50.46752	4.95024	4.21399	7.58186	6.52306	Heather Stevens	10.55925	0.00000	65.30071	9.83709	N	divoced	39.16606	7.56325
121	91.52628	890-09-5251	7.73620	53.76236	4.79685	3.66815	6.88520	8.17252	Mr. Brendan Patton	10.33761	1.00000	55.30067	9.12017	no	married	35.63529	7.02436
122	16.05497	323-89-6610	7.15946	74.08227	8.11666	2.89625	7.46053	6.81182	James Shannon	6.35550	0.00000	69.09963	9.25076	yes	divoced	51.57433	6.39541
123	10.91427	194-17-5913	6.36676	95.77817	5.28509	8.17379	8.75352	6.23620	Elizabeth Sanchez	5.27116	0.00000	43.11834	8.64733	no	widowed	53.21004	7.48357
124	79.75338	126-77-2421	6.58024	85.55151	7.07988	1.16549	5.23173	7.45291	Cory Flores	5.91216	0.00000	36.83684	9.00795	Y	married	35.65851	6.06353
125	148.25906	601-15-1462	9.06958	11.82276	10.23314	5.43381	8.13958	7.46958	Joshua Smith	7.08555	0.00000	66.45426	9.15145	yes	divoced	31.33265	6.41389
126	54.94225	810-96-3767	6.12273	80.24878	6.91591	5.71828	8.36584	7.80432	Timothy Nelson	9.80292	1.00000	57.30316	7.95578	no	single	61.44513	6.55394
127	37.88934	198-46-2319	9.47021	11.11814	9.57464	3.73164	7.09309	6.94697	Kenneth Luna	9.66721	1.00000	52.22028	5.85143	no	single	52.32896	5.91675
128	45.02399	609-59-9880	6.13408	87.54604	5.02219	2.38037	7.55849	7.65016	Sharon Hernandez	9.61023	1.00000	46.82562	8.58667	Y	single	30.41331	7.75715
129	66.34921	840-96-9019	6.99326	75.09396	7.21444	3.20647	7.44323	6.89286	David Williams	6.12182	0.00000	44.29414	8.63408	Y	single	55.82043	7.01929
130	40.57741	050-84-1911	8.95996	14.52352	3.63373	2.82021	6.74572	6.08841	Megan Wilson	7.48856	1.00000	53.54246	7.44070	yes	married	50.60578	6.22351
131	52.01085	425-32-3681	5.36777	69.78605	7.56942	3.14975	7.44733	7.88585	David Gill	9.64955	1.00000	44.64920	9.22423	no	divoced	39.17279	6.87997
132	89.77018	090-63-6613	7.65628	57.85727	6.39855	7.23507	8.62655	8.24966	Daniel Moore	7.42145	1.00000	53.92809	8.77741	yes	divoced	41.36057	8.47705
133	69.94063	387-14-8962	5.21950	65.96867	7.34754	3.32158	7.74982	6.77306	Christine Carlson	10.16040	1.00000	61.61892	8.90910	no	married	44.81275	6.09710
134	81.27453	179-73-4858	9.89103	21.01004	8.08097	5.71297	8.26882	8.97308	Erin Kane	8.18253	1.00000	17.54697	6.11109	Y	separated	37.69841	7.72527
135	53.73500	593-63-1404	7.41440	65.06388	7.76317	1.64764	6.81411	8.86051	Christopher Fitzgerald	6.74494	1.00000	55.15675	6.97877	yes	nop	38.56332	8.29733
136	131.50526	056-68-9507	5.59816	66.63919	6.30663	10.20610	8.91209	8.47296	Stephen Jennings	12.39688	1.00000	56.62091	10.84196	no	married	58.15836	9.03199
137	99.29548	061-61-4335	5.36519	75.40463	7.29166	7.78655	8.75365	8.08284	Joshua Cooke	10.08037	1.00000	61.36510	9.74105	no	married	46.16699	6.46783
138	114.88446	036-96-2956	8.68297	23.14460	7.40455	2.06606	5.99294	8.38123	Amy Rodriguez	9.44641	0.00000	58.15717	9.90986	no	married	48.57342	8.97704
139	38.38421	127-21-2115	9.21934	13.81263	4.16461	2.24489	6.34525	7.93087	Chelsea Anderson	7.06649	1.00000	34.61849	6.56510	yes	widowed	27.22654	8.20851
140	49.45373	131-82-9199	6.96856	78.12925	5.07766	2.06985	7.28790	7.95597	Dr. Rebecca Bates	8.39455	1.00000	91.49305	9.18675	no	married	35.93545	7.87933
141	105.71284	657-99-3358	9.63082	16.43951	6.89117	4.02874	7.76403	7.34278	Larry Fitzpatrick	8.17210	0.00000	68.73506	8.78086	no	married	55.58830	6.57110
142	64.92310	853-35-8261	8.96859	19.65381	8.36252	1.90861	6.34804	8.14192	Julia Smith	8.81251	1.00000	41.41906	5.86303	no	single	32.83093	9.73114
143	22.71026	307-22-1499	2.93138	10.04069	3.43203	6.09072	8.36168	5.88164	Sara Morgan	4.18251	0.00000	49.73949	9.05806	Y	married	42.29046	6.62919
144	107.58821	656-57-3877	9.47256	12.40054	6.58706	3.50244	7.54246	5.61847	Jesus Henry	7.47543	0.00000	55.40371	8.43070	yes	widowed	44.22408	7.93489
145	74.02173	531-21-1922	8.59470	26.83840	5.83675	2.27127	6.84742	7.31158	Stephanie Bentley	8.03805	0.00000	39.46773	7.58102	yes	widowed	57.20416	8.12966
146	143.19108	517-98-9985	9.42610	16.93120	6.94463	1.88920	6.56061	7.82190	Kimberly Hernandez	6.11116	1.00000	33.72403	6.17540	no	separated	49.10161	6.76431
147	64.93359	113-96-8536	9.90489	27.45473	9.35358	7.88199	8.57520	7.50493	Joshua Bradley	9.20769	1.00000	54.56039	6.29168	no	single	43.66524	7.39554
148	-6.81434	156-98-2064	9.58029	11.10131	3.71007	2.73677	7.42328	7.96763	Brandon Parker	6.99493	1.00000	44.99768	7.52829	no	single	59.43565	7.46549
149	76.36698	455-47-3656	6.50543	86.19673	6.01803	3.18098	7.53708	7.73247	Gregory Todd	5.42046	0.00000	66.54634		Y	married	47.86169	8.93962
150	75.51481	717-85-8402	9.47774	9.79463	4.01252	4.33198	7.88089	6.10299	Mallory Smith	9.59654	1.00000	77.71421	8.97563	Y	divoced	58.49685	6.86244
151	7.55484	194-71-1517	6.38178	87.60068	5.15136	1.97843	7.02205	7.49911	James Lane	8.79761	1.00000	38.35709	8.55858	no	married	38.71039	8.16398
152	52.59124	049-29-3450	7.24973	62.86968	4.88949	3.99015	7.81209	7.25395	Judy Wilkinson	8.63093	1.00000	60.73196	9.49442	no	divoced	60.10620	8.90158
153	93.50413	449-95-0683	8.94957	14.09539	3.72635	3.03761	6.62874	8.02741	Antonio Anthony	8.07944	1.00000	55.57801	9.87247	N	single	48.53205	7.41890
154	12.72369	561-26-5779	4.46634	44.93706	2.54557	5.77440	8.10253	6.70904	Emily Hardy	6.18054	0.00000	85.85694	8.21687	Y	divoced	23.40203	7.10173
155	83.07116	617-04-2255	7.94864	50.83258	9.46892	1.69008	5.87020	6.92386	Brandon Valdez	10.55330	1.00000	37.97464	6.06481	no	married	61.02197	7.31217
156	99.89965	688-69-8985	7.91940	46.55672	5.11914	4.49232	7.72188	8.11940	Allison Powell	9.30601	1.00000	40.56371	9.63035	no	single	46.60598	7.55504
157	43.66856	300-15-4583	8.27849	33.52072	7.69530	3.22002	7.44884	7.91539	Mark Harrell	8.79075	1.00000	69.78112	6.06858	no	married	56.67494	6.67670
